"rules","support","confidence","lift"
"{Suburb=BANYO} => {QpsOffence=THEFT}",0.00440627053953392,0.578867638704791,1.71583094087082
"{Unemployment_rating=MEDIUM,QpsOffence=UNLAWFUL_ENTRY,Suburb=FOREST LAKE} => {Solved=False}",0.00107093850535613,0.852064220183486,1.7142888878649
"{Unemployment_rating=MEDIUM,Solved=False,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.0016892865791082,0.578194375925012,1.71383531176385
"{Unemployment_rating=VERY LOW,Solved=False,Suburb=SOUTH BRISBANE} => {QpsOffence=THEFT}",0.00154082538657565,0.577213822894168,1.71092883864808
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=TARRAGINDI} => {Solved=False}",0.00105364205574069,0.85,1.71013583268568
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=CALAMVALE} => {Solved=False}",0.00181612720962144,0.849629130141605,1.70938967052791
"{Unemployment_rating=MEDIUM,QpsOffence=DRUG,Suburb=BRISBANE CITY} => {Solved=True}",0.00376341916215998,0.859729996707277,1.70932894309628
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=SINNAMON PARK} => {Solved=False}",0.00113580019141404,0.849137931034483,1.70840141500547
"{QpsOffence=THEFT,Suburb=SAINT LUCIA} => {Solved=False}",0.00154370812817822,0.845303867403315,1.7006875684167
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=GREENSLOPES} => {Solved=False}",0.00112571059580503,0.841594827586207,1.69322526030365
"{Solved=False,Suburb=MOUNT OMMANEY} => {QpsOffence=THEFT}",0.00101040093170209,0.570846905537459,1.69205655581836
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=MORNINGSIDE} => {Solved=False}",0.00129579235035688,0.840972871842844,1.69197393230004
"{Solved=False,Suburb=HERSTON} => {QpsOffence=THEFT}",0.00115886212423463,0.569405099150142,1.68778287416008
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=COORPAROO} => {Solved=False}",0.00171378988273007,0.838504936530324,1.68700863275805
"{Solved=True,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.0076868304832628,0.567944621938232,1.68345385000831
"{Unemployment_rating=LOW,Solved=False,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.00152497030776149,0.567292225201072,1.68152007027613
"{Suburb=BRISBANE AIRPORT} => {QpsOffence=THEFT}",0.00328632542693403,0.566600397614314,1.67946941292419
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=FOREST LAKE} => {Solved=False}",0.00298796167106765,0.833199356913183,1.67633420709165
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=CLAYFIELD} => {Solved=False}",0.00130011646276074,0.83210332103321,1.67412906564194
"{QpsOffence=GOOD_ORDER,Solved=False} => {Unemployment_rating=MEDIUM}",0.00141975023926755,0.631410256410256,1.67021505089364
"{Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.0125889325784394,0.563047962867458,1.66893958357025
"{Unemployment_rating=LOW,QpsOffence=ASSAULT} => {Solved=True}",0.0120657149775723,0.838189646540503,1.66650207404959
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=INALA} => {Solved=False}",0.00301246497468953,0.827395091053048,1.66465646235065
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=COOPERS PLAINS} => {Solved=False}",0.00110985551699088,0.827067669172932,1.66399771424525
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=OXLEY} => {Solved=False}",0.00121507558548482,0.826470588235294,1.66279643247293
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=WOOLLOONGABBA} => {Solved=False}",0.00126552356352986,0.824413145539906,1.65865701308813
"{Unemployment_rating=LOW,Suburb=BANYO} => {QpsOffence=THEFT}",0.00138515734003667,0.559045956951716,1.65707717303519
"{Solved=False,Suburb=INDOOROOPILLY} => {QpsOffence=THEFT}",0.00335406985459451,0.557899784224407,1.65367978389542
"{Unemployment_rating=MEDIUM,QpsOffence=UNLAWFUL_ENTRY,Suburb=INALA} => {Solved=False}",0.00109255906737544,0.821235102925244,1.65226303126091
"{Unemployment_rating=HIGH,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.00101328367330466,0.556611243072051,1.64986039820175
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=WEST END} => {Solved=False}",0.00133903347439549,0.819223985890653,1.64821681560846
"{Solved=False,Suburb=CHERMSIDE} => {QpsOffence=THEFT}",0.0049021020951766,0.555537406076446,1.64667742057558
"{Unemployment_rating=VERY LOW,QpsOffence=THEFT,Suburb=FORTITUDE VALLEY} => {Solved=False}",0.00298075481706122,0.817391304347826,1.64452959869518
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=WINDSOR} => {Solved=False}",0.00118192405705522,0.816733067729084,1.64320527630919
"{Unemployment_rating=LOW,QpsOffence=UNLAWFUL_ENTRY} => {Solved=False}",0.0396189592149718,0.815541182055542,1.64080729231061
"{Unemployment_rating=LOW,QpsOffence=THEFT,Suburb=FORTITUDE VALLEY} => {Solved=False}",0.00476517186905435,0.81508875739645,1.63989704805049
"{Unemployment_rating=MEDIUM,Solved=False,Suburb=ROCKLEA} => {QpsOffence=THEFT}",0.00101184230250337,0.552755905511811,1.63843272971408
"{QpsOffence=THEFT,Suburb=DARRA} => {Solved=False}",0.00116174486583721,0.814141414141414,1.63799106493721
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=EIGHT MILE PLAINS} => {Solved=False}",0.0018204513220253,0.813264649066323,1.63622707979396
"{QpsOffence=THEFT,Suburb=COOPERS PLAINS} => {Solved=False}",0.00143272257647913,0.812755519215045,1.63520274896789
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=MOOROOKA} => {Solved=False}",0.00130876468756847,0.81216457960644,1.63401382308597
"{QpsOffence=UNLAWFUL_ENTRY,Suburb=ANNERLEY} => {Solved=False}",0.00177432745638412,0.812005277044855,1.63369331835797
"{Suburb=MOUNT OMMANEY} => {QpsOffence=THEFT}",0.00197611936856428,0.549939831528279,1.63008555922181
"{QpsOffence=THEFT,Suburb=KANGAROO POINT} => {Solved=False}",0.00237393770971945,0.807352941176471,1.62433316980007
