Index,Year,Suburb,OffenceType,CPI-Annual-Change
60680,2012,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
60681,2012,SAINT LUCIA,DRUG,VERY LOW
60682,2012,SAINT LUCIA,THEFT,VERY LOW
60683,2012,SAINT LUCIA,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
60684,2013,SAINT LUCIA,PROPERTY_DAMAGE,VERY LOW
60685,2013,SAINT LUCIA,DRUG,VERY LOW
60686,2014,SAINT LUCIA,THEFT,MEDIUM
60687,2014,SAINT LUCIA,DRUG,MEDIUM
60688,2014,SAINT LUCIA,THEFT,MEDIUM
60689,2014,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
60690,2014,SAINT LUCIA,THEFT,MEDIUM
60691,2015,SAINT LUCIA,THEFT,VERY LOW
60692,2007,SAINT LUCIA,PROPERTY_DAMAGE,HIGH
60693,2008,SAINT LUCIA,GOOD_ORDER,VERY HIGH
60694,2008,SAINT LUCIA,ASSAULT,VERY HIGH
60695,2009,SAINT LUCIA,GOOD_ORDER,VERY HIGH
60696,2011,SAINT LUCIA,THEFT,HIGH
60697,2011,SAINT LUCIA,THEFT,HIGH
60698,2011,SAINT LUCIA,UNLAWFUL_ENTRY,HIGH
60699,2012,SAINT LUCIA,UNLAWFUL_ENTRY,VERY LOW
60700,2012,SAINT LUCIA,THEFT,VERY LOW
