Index,Year,Suburb,OffenceType,CPI-Annual-Change
29708,2008,MANLY WEST,ASSAULT,VERY HIGH
29709,2009,MANLY WEST,GOOD_ORDER,VERY HIGH
29710,2009,MANLY WEST,GOOD_ORDER,VERY HIGH
29711,2009,MANLY WEST,DRUG,VERY HIGH
29712,2009,MANLY WEST,DRUG,VERY HIGH
29713,2009,MANLY WEST,HANDLING_STOLEN_GOODS,VERY HIGH
29714,2009,MANLY WEST,DRUG,VERY HIGH
29715,2009,MANLY WEST,DRUG,VERY HIGH
29716,2009,MANLY WEST,HANDLING_STOLEN_GOODS,VERY HIGH
29717,2009,MANLY WEST,GOOD_ORDER,VERY HIGH
29718,2010,MANLY WEST,GOOD_ORDER,MEDIUM
29719,2010,MANLY WEST,GOOD_ORDER,MEDIUM
29720,2010,MANLY WEST,DRUG,MEDIUM
29721,2011,MANLY WEST,GOOD_ORDER,HIGH
29722,2011,MANLY WEST,THEFT,HIGH
29723,2011,MANLY WEST,THEFT,HIGH
